S. no,Name,Brand,Image,,Country,Sport,Gender,MRP,Sizes,Colours,Amazon Link,Price,Available sizes,Flipkart Link,Price,Available sizes,Myntra Link,Price,Available sizes,Tata Cliq Link,Price,Available sizes,NBA Store Link,Price,Available sizes,Ajio Link,Price,Available sizes,Superkicks Link,Price,Available sizes,Official Website,Price,Available sizes,Foot Type,Foot Width,Injury History,Playing Surface,Playing Style,Playing Position,Shoe Preference,Player Level,Product Analysis Note
1,Rise Nitro Basketball Shoe,Puma,,,India,Basketball,Unisex,"₹ 13,999","3,4,5,6,7,8,9,10,12,13","Yellow, Black",https://amzn.to/4ir6UcE,"7,644","3,7,8",https://shorturl.at/b4ZMW,"7,699","6,7,8,9,10",https://shorturl.at/6zKN1,9799,"6,10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Netural,Narrow,moderate ,"Indoor,Outdoor Synthetic",Speed  Agility,"Guard, Forward","Lightweight, Cushioned",intermediate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,G.T. Cut Academy EP Basketball Shoes,Nike,,,India,Basketball,Men/Unisex,8495,"6,7,8,9,10,11,12","White, Green, Orange",NA,NA,NA,NA,Na,NA,https://www.myntra.com/sports-shoes/nike/-nike-gt-cut-academy-ep-basketball-shoes/29922539/buy,6796,"6,7,8,9,10,11,12",NA,NA,NA,https://www.nbastore.in/products/nike-gt-hustle-academy-ep-basketball-shoes-blackwhite-black?gad_source=1&gbraid=0AAAAAqdufVZ6LoT2DX07LAf_qr7rk5G68&gclid=CjwKCAjwn6LABhBSEiwAsNJrjgS6JrJ3Kz5cDTtmV1oEKL5sp4LnXXeG9M7D0Bn_DaOiviFJMNk-8xoCCvAQAvD_BwE,8495,"7,8,9,10,11,12",NA,NA,NA,NA,NA,NA,https://www.nike.com/in/t/gt-cut-academy-ep-basketball-shoes-DTdMPk/FB2598-400,8495,"6,7,8,9,10,11,12",Netural,Regular ,ankel support ,Multi-Surface,All- Rounder,point gurad ,lightweight,"intermediate , advanced ",
3,Unisex Solution Mid Basketball Shoes,REEBOK,,,India,Basketball,Unisex,7999,"2.5,3,4,5,6,7,8,9,10,11,12",Trek Grey / Hunter Green / Wild Brown,NA,NA,NA,https://www.flipkart.com/reebok-classics-solution-mid-basketball-shoes-men/p/itm200c27ad10f8a?pid=SHOGM5HVKVDGVZG4&lid=LSTSHOGM5HVKVDGVZG4LRWOWV&marketplace=FLIPKART&q=Unisex+Solution+Mid+Basketball+Shoes&store=osp%2Fcil%2F1cu&srno=s_1_4&otracker=search&otracker1=search&fm=Search&iid=de791aee-ce65-47fb-93d3-be852938c718.SHOGM5HVKVDGVZG4.SEARCH&ppt=sp&ppn=sp&ssid=rssh7fp1n40000001745842165571&qH=d579c02fd8c6d475,7359,7,https://www.myntra.com/sports-shoes/reebok+classic/reebok-classic-unisex-solution-mid-basketball-shoes/21820848/buy,3999,"5,7,9,10,12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Netural,Regular ,Moderate ,outdoor,All- Rounder,shooting gurad ,"Lightweight, Cushioned","Biggener, intermediate",
4,"
Men Mid-Top Lace-Up Basketball Shoes",REEBOK,,,India,Basketball,Men/Unisex,6999,"6,7,8,9,10,11,12",White ,https://amzn.to/44N24TW,5999,8,Na,Na,Na,https://www.myntra.com/sports-shoes/reebok/reebok-men-basketball-footwear-/26673626/buy,5999,"6,7,8",https://www.tatacliq.com/reebok-mens-white-basketball-shoes/p-mp000000021816355,5999,"6,7,8",Na,Na,Na,https://www.ajio.com/reebok-men-mid-top-lace-up-basketball-shoes/p/469576649_white?srsltid=AfmBOooYJavxkTRorEhpFKiTfFSlXRbIehJH-PsZTKlKlfdEflDSGmUAaWw&gPromoCode=New_User#gmf,4199,"8,9,10,12",NA,NA,NA,NA,NA,NA,Netural,Narrow , ankel support ,indoor,Speed ,Gurad ,"Lightweight, Cushioned","intermediate , advanced ",
5,Reebok Men's Bb 4000 Ii Mid Cream Ankle High Sneakers,REEBOK,,,India,Basketball,Men/Unisex,9999,"3,4,5,6,7,8,9,10,11,12",Cream,NA,na,NA,NA,NA,NA,NA,NA,NA,https://www.tatacliq.com/reebok-mens-bb-4000-ii-mid-cream-ankle-high-sneakers/p-mp000000020165008,4999,"3,5,8",NA,NA,NA,Na,Na,NA,NA,NA,NA,NA,NA,NA,Netural,Regular , moderate,Indoor court ,All- Rounder,Point,"supportive , cushioned ","Biggener, intermediate",
6,Reebok Unisex Bb 4000 Ii U Men Sneakers Yellow and Black,REEBOK,,,India,Basketball,Unisex,7999,"4,5,6,7,8,9,10,11,12",Yellow,NA,na,NA,https://www.flipkart.com/reebok-bb-4000-ii-u-casuals-men/p/itm0ddfe5b5604f9?pid=SHOGX9VHMCWTJ5TH&lid=LSTSHOGX9VHMCWTJ5TH0JCQDS&marketplace=FLIPKART&q=Reebok+Unisex+Bb+4000+Ii+U+Men+Sneakers+Yellow+and+Black&store=osp%2Fcil&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=34a62e77-52eb-42da-a61d-171e76d0e51a.SHOGX9VHMCWTJ5TH.SEARCH&ppt=sp&ppn=sp&ssid=lhkvb2359s0000001745851703041&qH=590ad0b9507c1a69,"4,799",7,https://www.myntra.com/casual-shoes/reebok/reebok-bb-4000-ii-u-men-leather-casual-sneakers/27953512/buy,4799,"4,5,6,7,8,9,10,11",NA,NA,NA,NA,NA,NA,Na,Na,NA,Na,NA,Na,https://reebok.abfrl.in/p/reebok-unisex-bb-4000-ii-u-39625243.html?size=11,4799,11,Netural,Regular ,ankel support ,Indoor court ,All- Rounder,Shooting Gurad ,"Lightweight, Cushioned","Biggener, intermediate",
7,"Basketball Shoes For Men  (White , 9)",REEBOK,,,India,Basketball,Men/Unisex,9999,"3,4,5,6,7,8,9,10,11,12,13,14",White,https://amzn.to/435RVR8,4999,"7,8,9",https://www.flipkart.com/reebok-basketball-shoes-men/p/itmc5ef5751d15eb?pid=SHOGW5SZQVHG5WW7&lid=LSTSHOGW5SZQVHG5WW7KYE2FH&marketplace=FLIPKART&cmpid=content_shoe_8965229628_gmc,Na,9,https://www.myntra.com/sports-shoes/reebok/reebok-men-bb-4000-li-basketball-shoes/26189016/buy,4999,"7,8,9,10,11",NA,NA,NA,NA,NA,NA,Na,Na,NA,Na,NA,Na,NA,Na,Na,Netural,Regular ,ankel support ,Indoor court ,Agility,small Forward,"Lightweight, Cushioned",Power-Based,
7,"REEBOK CLASSICS ROYAL BB4590 Casuals For Men  (Off White , 8)",REEBOK,,,India,Basketball,Men/Unisex,7599,"7,8,9,10,11",Off white,NA,NA,NA,https://www.flipkart.com/reebok-classics-royal-bb4590-casuals-men/p/itm3b6d694eb1002?pid=SHOGT74HFSXQEPD5&lid=LSTSHOGT74HFSXQEPD5L9F0XP&marketplace=FLIPKART&cmpid=content_shoe_8965229628_gmc,6991,"7,8,9,11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Netural,Regular,Stability ,Multi-Surface,All- Rounder,shooting guard ,"cushioned, supportive","Biggener, intermediate",
8,"Reebok Classic
MENS BB 4590 Running Sports Shoes",REEBOK,,,India,Basketball,Men/Unisex,7599,"4.5,5,6,7,8,9,10,11",Black,NA,NA,NA,NA,NA,NA,https://www.myntra.com/sports-shoes/reebok+classic/reebok-classic-mens-bb-4590-running-sports-shoes/25342196/buy,4559,"4.5,5.5,6.5,7.5,11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Na,NA,NA,NA,"Netural, flat foot ",Regular,ankel support ,Multi surface ,All-Rounder,Point,"Lightweight, Cushioned","Beginner, Intermediate",
